provider,models_in_chart,candidate_best_value_plan,plan_price_usd_per_month,quota_period,published_quota,token_conversion,decision,access_basis,confidence,reason,plan_source_url,quota_source_url,as_of_date
Alibaba,Qwen3.6 27B; Qwen3.6 35B A3B; Qwen3.6 Plus; Qwen3.7 Plus; Qwen3.8 2.4T A95B; Qwen3.8 Max,Token Plan Max seat,200,monthly,Credits,None,exclude_subscription_unknown_tokens,,high,Exact public Credit/token conversion for these configurations is unavailable,https://www.alibabacloud.com/help/en/model-studio/token-plan-overview,https://www.alibabacloud.com/help/en/model-studio/token-plan-overview,2026-08-15
Anthropic,Claude Fable 5 (with fallback); Claude Opus 4.8; Claude Opus 5; Claude Sonnet 5,Claude Max 20x,200,weekly,"Current standard estimate = about $5,333.33/month API-equivalent; Fable receives 50%",Sonnet/Opus 4.8/Opus 5 about 26.67x; Fable about 13.33x,include_subscription_api_equivalent_estimate,subscription_api_equivalent_estimate,medium,"Current standard-limit estimate, not a provider-guaranteed Token quota; Anthropic confirms Opus 5 is the default model on Claude Max",https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5,2026-08-15
Cohere,Command A+,Free rate-limited API / Model Vault,,monthly,Rate-limited free access; production deployment by agreement,,exclude_api_cost_unavailable,,high,No stable positive public per-Token task price is available for a comparable cost calculation,https://docs.cohere.com/docs/command-a-plus,https://docs.cohere.com/v2/docs/rate-limits,2026-08-15
DeepSeek,DeepSeek V4 Flash 0731; DeepSeek V4 Pro 0813,None,,none,None,None,include_api,api_no_first_party_subscription,high,"No first-party capped model subscription is published; use the lowest current original-model API route, including current official pricing when it is cheaper than AA's provider table",https://api-docs.deepseek.com/quick_start/pricing/,https://artificialanalysis.ai/models,2026-08-15
Google,Gemini 3.1 Pro Preview; Gemini 3.5 Flash; Gemini 3.5 Flash-Lite; Gemini 3.7 Flash,Google AI Ultra,,weekly,Compute-based shared limits,None,exclude_subscription_unknown_tokens,,high,No public conversion from the shared compute pool to benchmark tasks,https://support.google.com/gemini/answer/16275805?hl=en-GB,https://support.google.com/gemini/answer/16275805?hl=en-GB,2026-08-15
InclusionAI,Ring-2.6-1T,Unknown,,unknown,Unknown,None,exclude_access_unverified,,low,First-party access and quota classification was not reliable enough for the strict chart,https://artificialanalysis.ai/models/ring-2-6-1t,https://artificialanalysis.ai/models/ring-2-6-1t,2026-08-15
Kimi,Kimi K2.6; Kimi K3,Kimi Allegro,99,weekly,Plan multiplier only,None,exclude_subscription_unknown_tokens,,high,Base weekly Token allowance is not published,https://www.kimi.com/help/membership/membership-pricing,https://www.kimi.com/code/docs/en/kimi-code/membership.html,2026-08-15
LG AI Research,K-EXAONE 2.0 0803,None,,none,None,None,exclude_api_cost_unavailable,,high,"Current benchmark Token data exists, but no positive comparable hosted task price is published",https://www.lgresearch.ai/data/cdn/upload/K-EXAONE_Technical_Report.pdf,https://artificialanalysis.ai/models/k-exaone-2-0-0803/providers,2026-08-15
Meta,Muse Spark 1.2,None,,none,None,None,include_api,api_public_preview_no_paid_token_plan,medium,No quantifiable paid model subscription is published; use the current AA original-model API task cost,https://ai.meta.com/blog/introducing-muse-spark-meta-model-api/,https://artificialanalysis.ai/models/muse-spark-1-2/providers,2026-08-15
MiniMax,MiniMax-M3,Token Plan Ultra,120,weekly,Approximate monthly equivalent,None,exclude_subscription_unknown_tokens,,high,Concrete weekly cap remains unavailable,https://platform.minimax.io/subscribe/token-plan?tab=individual__monthly,https://platform.minimax.io/subscribe/token-plan?tab=individual__monthly,2026-08-15
Mistral,Magistral Medium 1.2; Ministral 3 14B; Ministral 3 3B; Ministral 3 8B; Mistral Large 3; Mistral Medium 3.5; Mistral Small 4,Mistral Pro,14.99,monthly,Higher limits,None,exclude_subscription_unknown_tokens,,high,No public numeric Token allowance for the included subscription,https://mistral.ai/pricing/,https://mistral.ai/pricing/,2026-08-15
Multiverse Computing,HyperNova 60B 2605,None,,none,None,None,exclude_api_cost_unavailable,,medium,"Open weights are available, but the current AA observation has no positive comparable hosted task price",https://multiversecomputing.com/resources/introducing-hypernova-60b-2605,https://artificialanalysis.ai/models/hypernova-60b/providers,2026-08-15
NVIDIA,Nemotron 3 Ultra 550B A55B; Nemotron 3.5 Lightning,None,,none,None,None,include_api_partial,api_or_open_weight_no_model_token_plan,medium,Nemotron Ultra has a comparable original-model API route; Lightning remains Token-only because no positive comparable task price is published,https://build.nvidia.com/nvidia/nemotron-3-ultra-550b-a55b/modelcard,https://artificialanalysis.ai/models/nvidia-nemotron-3-ultra-550b-a55b/providers,2026-08-15
OpenAI,GPT-5.5; GPT-5.5 Instant (June 2026); GPT-5.6 Luna; GPT-5.6 Sol; GPT-5.6 Terra,ChatGPT Pro 20x,200,weekly,"Best available full-limit test: about $14,000/month API-equivalent; official 2026-07-30 Codex credit rates remain proportional to standard API prices",Per fixed AA configuration: effective task cost = API task cost / 70,include_subscription_api_equivalent_estimate,subscription_api_equivalent_estimate,medium,"Highest-confidence current allowance estimate; official credit pricing confirms the repricing basis, but OpenAI does not promise a fixed Token quota",https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget,2026-08-15
xAI,Grok 4.6,SuperGrok Heavy,,weekly,Percentage only,None,exclude_subscription_unknown_tokens,,high,Numeric weekly Token/Credit ceiling is not public,https://docs.x.ai/grok/faq,https://docs.x.ai/grok/faq,2026-08-15
Upstage,Solar Pro 4,Optional API commitment tiers,,monthly_or_yearly_prepaid,Metered prepaid credits with 10%-40% bonus,Credits retain metered API billing; no capped model quota,include_api,api_metered_no_model_subscription,high,"Commitment tiers are prepaid metered API credits, not a capped model subscription; use the fixed current AA original-model route",https://www.upstage.ai/pricing/api,https://artificialanalysis.ai/models/solar-pro4/providers,2026-08-15
Xiaomi MiMo,MiMo-V2.5; MiMo-V2.5-Pro,Token Plan Max,100,monthly,82B Credits/month,2.5 Credits/cache-hit input; 300 Credits/uncached or cache-write input; 600 Credits/output,include_subscription,subscription_official,high,Only MiMo-V2.5-Pro has the exact public conversion used here; MiMo-V2.5 is excluded,https://mimo.mi.com/docs/zh-CN/tokenplan/Token%20Plan/subscription,https://mimo.mi.com/docs/zh-CN/tokenplan/Token%20Plan/subscription,2026-08-15
