id,benchmark_version,model,base_model,developer,agent,agent_version,model_ids,model_url,agent_url,effort,effort_order,score,success_rate,ci95_half_width,ci95_low,ci95_high,trials,successes,task_count,raw_metrics_n_trials,raw_associated_n_trials,trial_count_note,total_tokens,token_per_attempt,total_tokens_million,tokens_per_success,total_api_usd,api_per_attempt,api_per_success,cost_note,raw_named_uncached_input_tokens,raw_cached_input_tokens,raw_output_tokens,component_semantics,avg_trial_duration_sec,source_url,submission_date,source_updated_at,source_verified,data_scope,subscription_per_attempt,subscription_per_success,subscription_offpeak_per_attempt,access_kind,access_label,access_evidence_date,access_confidence,access_rule,access_sources,api_value_ratio
tb1-000-apex2__claude-4-5-sonnet,1.0,claude-4-5-sonnet · Apex2,claude-4-5-sonnet,Anthropic,Apex2,,,,https://github.com/heartyguy/Apex2-Terminal-Bench-Agent,not_reported,-1,64.5,0.645,1.1173719165971554,63.38262808340284,65.61737191659715,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-10-15,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-044-chaterm__claude-4-5-sonnet,1.0,claude-4-5-sonnet · Chaterm,claude-4-5-sonnet,Anthropic,Chaterm,,,,https://chaterm.ai/,not_reported,-1,63.74999999999999,0.6375,1.0956400000000002,62.65435999999999,64.84563999999999,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-10-31,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
"tb1-046-abacus ai desktop__gpt-5-mini,claude-sonnet-4-5",1.0,gpt-5-mini + claude-sonnet-4-5 · Abacus AI Desktop,gpt-5-mini + claude-sonnet-4-5,OpenAI + Anthropic,Abacus AI Desktop,,,,https://desktop.abacus.ai/,not_reported,-1,62.25000000000001,0.6225,1.8032,60.44680000000001,64.0532,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-11-08,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-035-ante__claude-sonnet-4-5,1.0,claude-sonnet-4-5 · Ante,claude-sonnet-4-5,Anthropic,Ante,,,,https://antigma.ai/,not_reported,-1,60.25,0.6025,2.1168,58.1332,62.3668,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-10-10,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-028-droid__claude-opus-4-1,1.0,claude-opus-4-1 · Droid,claude-opus-4-1,Anthropic,Droid,,,,https://factory.ai/,not_reported,-1,58.8,0.588,1.7444,57.0556,60.544399999999996,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-09-24,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-034-droid__claude-sonnet-4-5,1.0,claude-sonnet-4-5 · Droid,claude-sonnet-4-5,Anthropic,Droid,,,,https://factory.ai/,not_reported,-1,57.49999999999999,0.575,1.5484,55.95159999999999,59.048399999999994,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-09-29,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
"tb1-024-ob-1__gpt-5,claude 4.1 opus,claude 4 sonnet",1.0,GPT-5 + Claude 4.1 Opus + Claude 4 Sonnet · OB-1,GPT-5 + Claude 4.1 Opus + Claude 4 Sonnet,Multiple,OB-1,,,,https://www.openblocklabs.com/,not_reported,-1,56.699999999999996,0.567,1.176,55.523999999999994,57.876,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-09-10,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-032-ante__claude-sonnet-4,1.0,claude-sonnet-4 · Ante,claude-sonnet-4,Anthropic,Ante,,,,https://antigma.ai/,not_reported,-1,54.75,0.5475,2.94,51.81,57.69,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-09-30,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-036-chaterm__claude-sonnet-4-5,1.0,claude-sonnet-4-5 · Chaterm,claude-sonnet-4-5,Anthropic,Chaterm,,,,https://chaterm.ai/,not_reported,-1,52.5,0.525,0.9996,51.5004,53.4996,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-10-10,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
tb1-030-droid__gpt-5,1.0,gpt-5 · Droid,gpt-5,OpenAI,Droid,,,,https://factory.ai/,not_reported,-1,52.5,0.525,4.0964,48.4036,56.5964,,,80,,,published_metrics_or_association_count,,,,,,,,published_run_cost_not_current_repricing,,,,components_missing,,https://github.com/harbor-framework/terminal-bench-website/blob/130be8458294043b33bbde1c765f3180f5ba96fb/app/%28home%29/leaderboard/data.ts,2025-09-24,,False,summary_only,,,,excluded,,,unavailable,missing_or_unreliable_benchmark_cost,[],
