rank,model,effort,score,cost_usd_per_task,total_tokens_million,provider,provider_model_id,precision
1,MiMo-V2.5,default,37.2026,0.009753224,373.842847,Xiaomi,mimo-v2.5,first-party undisclosed
2,HyperNova 60B 2605,default,17.8041,0.01928939,571.809314,CompactifAI,hypernova-60b,official released model precision undisclosed
3,DeepSeek V4 Flash (Preview),max,40.2825,0.022281834,940.122371,DeepSeek,deepseek-v4-flash,first-party undisclosed
4,DeepSeek V4 Flash (Preview),high,37.4635,0.026463603,617.541833,DeepSeek,deepseek-v4-flash,first-party undisclosed
5,MiMo-V2.5-Pro,default,42.2394,0.031395287,422.90526,Xiaomi,mimo-v2.5-pro,first-party undisclosed
6,GPT-5.6 Luna,low,33.2639,0.040455416,116.165739,OpenAI,gpt-5.6-luna,first-party undisclosed
7,DeepSeek V4 Pro (Preview),high,43.1117,0.040479987,453.826074,DeepSeek,deepseek-v4-pro,first-party undisclosed
8,Ring-2.6-1T,default,30.5727,0.042652512,765.11771,OpenRouter,inclusionai/ring-2.6-1t,publisher-routed precision undisclosed
9,DeepSeek V4 Pro (Preview),max,44.2736,0.04485219,544.957436,DeepSeek,deepseek-v4-pro,first-party undisclosed
10,GPT-5.6 Luna,medium,38.0506,0.050416974,137.908476,OpenAI,gpt-5.6-luna,first-party undisclosed
11,GPT-5.6 Luna,non-reasoning,26.5601,0.054702536,180.931436,OpenAI,gpt-5.6-luna,first-party undisclosed
12,Mistral Large 3,default,15.9301,0.05988933,130.840838,Mistral,mistral-large-3,first-party precision undisclosed
13,Gemini 3.5 Flash-Lite,default,36.4776,0.085844299,516.615155,Google AI Studio,gemini-3.5-flash-lite,first-party undisclosed
14,GPT-5.6 Luna,high,46.059,0.094764593,312.989293,OpenAI,gpt-5.6-luna,first-party undisclosed
15,Mistral Small 4,default,19.5555,0.097631311,425.85493,Mistral,mistral-small-4,first-party precision undisclosed
16,MiniMax-M3,default,44.4373,0.119962135,1314.749577,MiniMax,MiniMax-M3,first-party undisclosed
17,Qwen3.7 Plus,default,38.9772,0.123525744,414.380358,Alibaba Cloud Model Studio,qwen3.7-plus,first-party undisclosed
18,Ministral 3 3B,default,6.4616,0.126204274,918.18605,Mistral,ministral-3-3b,first-party precision undisclosed
19,GPT-5.6 Luna,xhigh,49.0677,0.138964788,518.208795,OpenAI,gpt-5.6-luna,first-party undisclosed
20,Amazon Nova 2.0 Lite,high,18.1684,0.139369329,476.044499,Amazon Bedrock,amazon.nova-2-lite-v1:0,first-party undisclosed
