id,benchmark_version,model,base_model,developer,agent,agent_version,model_ids,model_url,agent_url,effort,effort_order,score,success_rate,ci95_half_width,ci95_low,ci95_high,trials,successes,task_count,raw_metrics_n_trials,raw_associated_n_trials,trial_count_note,total_tokens,token_per_attempt,total_tokens_million,tokens_per_success,total_api_usd,api_per_attempt,api_per_success,cost_note,raw_named_uncached_input_tokens,raw_cached_input_tokens,raw_output_tokens,component_semantics,avg_trial_duration_sec,source_url,submission_date,source_updated_at,source_verified,data_scope,subscription_per_attempt,subscription_per_success,subscription_offpeak_per_attempt,access_kind,access_label,access_evidence_date,access_confidence,access_rule,access_sources,api_value_ratio
03ff7953-4955-4fc5-9ddd-911cab72d7f1,2.1,GPT-6 Astra · Codex,GPT-6 Astra,OpenAI,Codex,,,https://developers.openai.com/api/docs/models/gpt-6-astra,https://openai.com/codex/,high,4,87.42,0.8742,1.79,85.63,89.21000000000001,445,,89,445.0,445.0,published_metrics_or_association_count,368258713.0,827547.6696629213,0.8275476696629214,946634.2595091757,773.5,1.7382022471910112,1.988334759998869,published_run_cost_not_current_repricing,364037878.0,341991423.0,4220835.0,named_uncached_field_includes_cache_arithmetically,434.1,https://hub.harborframework.com/jobs/17d1a7f6-3339-4670-8b70-3b145979f57f,2026-09-03,2026-09-03T20:54:37.791805+00:00,,complete,0.024831460674157303,0.02840478228569813,,subscription_estimate,ChatGPT Pro 20x · $200/mo,2026-06-10,medium,codex_historical_full_use_70x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://learn.chatgpt.com/docs/pricing"", ""https://developers.openai.com/api/docs/pricing""]",70
17be4c09-ab31-4202-9d56-31a2ccf37e1b,2.1,GPT-6 Astra · Codex,GPT-6 Astra,OpenAI,Codex,,,https://developers.openai.com/api/docs/models/gpt-6-astra,https://openai.com/codex/,medium,3,86.97,0.8697,1.89,85.08,88.86,445,,89,445.0,445.0,published_metrics_or_association_count,320800101.0,720899.1033707865,0.7208991033707866,828905.488525683,619.07,1.3911685393258428,1.5995958828628754,published_run_cost_not_current_repricing,317899993.0,300548240.0,2900108.0,named_uncached_field_includes_cache_arithmetically,390.4,https://hub.harborframework.com/jobs/17d1a7f6-3339-4670-8b70-3b145979f57f,2026-09-03,2026-09-03T20:54:37.791805+00:00,,complete,0.019873836276083467,0.022851369755183933,,subscription_estimate,ChatGPT Pro 20x · $200/mo,2026-06-10,medium,codex_historical_full_use_70x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://learn.chatgpt.com/docs/pricing"", ""https://developers.openai.com/api/docs/pricing""]",70
93fc9e32-98c9-4e4a-a6a0-89dd3da598af,2.1,GPT-6 Astra · Codex,GPT-6 Astra,OpenAI,Codex,,,https://developers.openai.com/api/docs/models/gpt-6-astra,https://openai.com/codex/,low,2,86.74,0.8674,1.82,84.92,88.55999999999999,445,,89,445.0,445.0,published_metrics_or_association_count,239142284.0,537398.391011236,0.537398391011236,619550.8312326908,463.45,1.0414606741573034,1.2006694421919568,published_run_cost_not_current_repricing,237184412.0,222920585.0,1957872.0,named_uncached_field_includes_cache_arithmetically,348.9,https://hub.harborframework.com/jobs/17d1a7f6-3339-4670-8b70-3b145979f57f,2026-09-03,2026-09-03T20:54:37.791805+00:00,,complete,0.014878009630818619,0.01715242060274224,,subscription_estimate,ChatGPT Pro 20x · $200/mo,2026-06-10,medium,codex_historical_full_use_70x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://learn.chatgpt.com/docs/pricing"", ""https://developers.openai.com/api/docs/pricing""]",70
f8d623c8-5f1b-4f9c-8deb-d110fa91e1d2,2.1,GPT-6 Astra · Codex,GPT-6 Astra,OpenAI,Codex,,,https://developers.openai.com/api/docs/models/gpt-6-astra,https://openai.com/codex/,max,6,86.74,0.8674,1.36,85.38,88.1,445,,89,445.0,445.0,published_metrics_or_association_count,429273930.0,964660.5168539326,0.9646605168539326,1112128.7950817763,1069.75,2.403932584269663,2.77142331596687,published_run_cost_not_current_repricing,421696640.0,391786531.0,7577290.0,named_uncached_field_includes_cache_arithmetically,576.0,https://hub.harborframework.com/jobs/17d1a7f6-3339-4670-8b70-3b145979f57f,2026-09-03,2026-09-03T20:54:37.791805+00:00,,complete,0.034341894060995186,0.039591761656669576,,subscription_estimate,ChatGPT Pro 20x · $200/mo,2026-06-10,medium,codex_historical_full_use_70x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://learn.chatgpt.com/docs/pricing"", ""https://developers.openai.com/api/docs/pricing""]",70
3d9a7a70-ad72-4197-b895-c73698601637,2.1,GPT-6 Astra · Codex,GPT-6 Astra,OpenAI,Codex,,,https://developers.openai.com/api/docs/models/gpt-6-astra,https://openai.com/codex/,xhigh,5,85.84,0.8584,1.43,84.41,87.27000000000001,445,,89,445.0,445.0,published_metrics_or_association_count,404698440.0,909434.6966292135,0.9094346966292135,1059453.2812549085,888.54,1.9967191011235954,2.3260940134245054,published_run_cost_not_current_repricing,399411172.0,374437038.0,5287268.0,named_uncached_field_includes_cache_arithmetically,487.3,https://hub.harborframework.com/jobs/17d1a7f6-3339-4670-8b70-3b145979f57f,2026-09-03,2026-09-03T20:54:37.791805+00:00,,complete,0.028524558587479935,0.03322991447749293,,subscription_estimate,ChatGPT Pro 20x · $200/mo,2026-06-10,medium,codex_historical_full_use_70x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://learn.chatgpt.com/docs/pricing"", ""https://developers.openai.com/api/docs/pricing""]",70
40dbe33d-e8af-475b-8eba-7d5d8f70054c,2.1,Fable 5 · Claude Code,Fable 5,Anthropic,Claude Code,,,https://www.anthropic.com/news/claude-fable-5-mythos-5,https://claude.com/claude-code,xhigh,5,83.82,0.8382,2.27,81.55,86.08999999999999,445,,89,445.0,445.0,published_metrics_or_association_count,204502003.0,459555.0629213483,0.45955506292134835,548264.2125045912,552.67,1.2419550561797752,1.481692980410135,published_run_cost_not_current_repricing,20480925.0,174066133.0,9954945.0,disjoint_components_match,579.7,https://github.com/harbor-framework/terminal-bench-2-1/pull/75,2026-06-09,2026-08-29T00:04:08.213344+00:00,,complete,0.06209775280898876,0.07408464902050675,,subscription_estimate,Claude Max 20x · Fable 50% cap,2026-06-10; cap checked 2026-09-05,low,fable_historical_40x_times_shared_cap_50pct,"[""https://support.claude.com/en/articles/15424964-claude-fable-models-on-your-plan"", ""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget""]",20
6d091468-3fda-4cbf-ba1c-645b0f522e97,2.1,GPT-5.5 · Codex,GPT-5.5,OpenAI,Codex,,,https://openai.com/index/introducing-gpt-5-5/,https://openai.com/codex/,xhigh,5,83.15,0.8315,2.21,80.94000000000001,85.36,445,,89,445.0,445.0,published_metrics_or_association_count,735197348.0,1652128.8719101124,1.6521288719101124,1986925.8832352525,2059.19,4.627393258426967,5.565115163471998,published_run_cost_not_current_repricing,336797311.0,392433664.0,5966373.0,disjoint_components_match,482.6,https://github.com/harbor-framework/terminal-bench-2-1/pull/45,2026-04-23,2026-08-29T00:04:08.213344+00:00,,complete,0.06610561797752809,0.07950164519245712,,subscription_estimate,ChatGPT Pro 20x · $200/mo,2026-06-10,medium,codex_historical_full_use_70x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://learn.chatgpt.com/docs/pricing"", ""https://developers.openai.com/api/docs/pricing""]",70
ce0677b9-0fea-46ce-b8de-893c4d68e77a,2.1,Fable 5 · Terminus 2,Fable 5,Anthropic,Terminus 2,,,https://www.anthropic.com/news/claude-fable-5-mythos-5,https://www.tbench.ai/news/terminus,high,4,80.45,0.8045,2.27,78.18,82.72,445,,89,445.0,445.0,published_metrics_or_association_count,71432809.0,160523.16629213482,0.1605231662921348,199531.59265647584,438.64,0.9857078651685393,1.2252428404829574,published_run_cost_not_current_repricing,7874199.0,56146091.0,7412519.0,disjoint_components_match,697.1,https://github.com/harbor-framework/terminal-bench-2-1/pull/78,2026-06-09,2026-08-29T00:04:08.213344+00:00,,complete,0.9857078651685393,1.2252428404829574,,api_no_applicable_plan,API,,published,no_supported_subscription_for_evaluated_harness,"[""https://github.com/harbor-framework/terminal-bench-2-1/pull/78""]",
1fe87c62-99ed-477b-9f6c-23ffbabc49f6,2.1,Grok 4.5 · Cursor CLI,Grok 4.5,xAI,Cursor CLI,,,https://docs.x.ai/developers/models/grok-4.5,https://cursor.com/docs/cli/overview,high,4,79.33,0.7933,2.86,76.47,82.19,445,,89,445.0,445.0,published_metrics_or_association_count,178384443.0,400863.9168539326,0.4008639168539326,505311.8830882801,134.09,0.3013258426966292,0.37983845039282643,published_run_cost_not_current_repricing,12570445.0,161079936.0,4734062.0,disjoint_components_match,443.0,https://github.com/harbor-framework/terminal-bench-2-1/pull/86,2026-07-08,2026-08-29T00:04:08.213344+00:00,,complete,,,,excluded,,,unavailable,cursor_models_pool_not_api_pool_quota,[],
dcd48d03-9df9-46ab-bc4c-ade6dc35b8da,2.1,Opus 4.8 · Claude Code,Opus 4.8,Anthropic,Claude Code,,,https://www.anthropic.com/news/claude-opus-4-8,https://claude.com/claude-code,high,4,78.88,0.7888,2.57,76.31,81.44999999999999,445,,89,445.0,445.0,published_metrics_or_association_count,182894067.0,410997.9033707865,0.4109979033707865,521041.96674795455,286.94,0.6448089887640449,0.8174556145588805,published_run_cost_not_current_repricing,12873472.0,161931526.0,8089069.0,disjoint_components_match,551.4,https://github.com/harbor-framework/terminal-bench-2-1/pull/92,2026-05-28,2026-08-29T00:04:08.213344+00:00,,complete,0.01612022471910112,0.02043639036397201,,subscription_estimate,Claude Max 20x · $200/mo,2026-06-10,medium,claude_historical_full_use_40x,"[""https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget"", ""https://github.com/iteebz/ccmeter/blob/1484b439e0789e2eb7b070d478f6f19f539305ef/README.md"", ""https://claude.com/pricing""]",40
