rank,model,effort,score,cost_usd_per_task,api_cost_usd_per_task,access_mode,quota_scenario,plan_name,plan_price_usd_per_month,provider,confidence
1,GPT-5.6 Luna,low,33.2639,0.000115587,0.008091083,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
2,GPT-5.6 Luna,medium,38.0506,0.000144048,0.010083395,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
3,GPT-5.6 Luna,non-reasoning,26.5601,0.000156293,0.010940507,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
4,GPT-5.6 Luna,high,46.059,0.000270756,0.018952919,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
5,GPT-5.6 Luna,xhigh,49.0677,0.000397042,0.027792958,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
6,GPT-5.6 Luna,max,51.2359,0.000598324,0.041882665,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
7,GPT-5.6 Terra,low,40.4657,0.001761963,0.123337436,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
8,GPT-5.6 Terra,medium,45.5742,0.002002268,0.140158766,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
9,GPT-5.6 Terra,non-reasoning,33.9672,0.002041082,0.142875751,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
10,GPT-5.5,non-reasoning,35.3827,0.002443052,0.171013647,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
11,GPT-5.6 Sol,low,49.444,0.002820946,0.197466244,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
12,GPT-5.6 Sol,non-reasoning,41.2034,0.002863494,0.200444615,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200.0,OpenAI,medium
